"X"	"Zillow_Home_ID"	"Current_Price"	"Price_Each_SQFT"	"Price_History"	"Tax_History"	"URL"	"Address"	"Zip_Code"	"Neighborhood"	"School"	"Lot_Size"	"Floor_Size"	"MLS_Number"	"Parcel_Number"	"Stories"	"Built_Year"	"Last_Remodel_Year"	"House_Type"	"Structure_Type"	"Bath_Num"	"Bed_Num"	"Room_Num"
"12"	12	44467814	"1,15,000"	96	NA	NA	"https://www.zillow.com/homedetails/44467814_zpid/"	"5143AttleboroSt,Jacksonville,FL32205"	"32205"	"Hillcrest"	"3_RamonaBoulevardElementary_K-5_0.6mi;2_LakeShoreMiddle_6-8_2.2mi;3_RobertE.LeeHigh_9-12_1.9mi"	"8,476"	"1,193"	"865219"	597520000	1	1946	1946	"SingleFamily"	"Bungalow"	NA	"3"	NA
"13"	13	44491364	"1,55,500"	114	NA	NA	"https://www.zillow.com/homedetails/44491364_zpid/"	"4251ColonialAve,Jacksonville,FL32210"	"32210"	"Fairfax"	"9_FishweirElementary_PK-5_0.7mi;2_LakeShoreMiddle_6-8_0.8mi;3_RobertE.LeeHigh_9-12_1.9mi"	"7,556"	"1,370"	NA	940840000	1	1951	1975	"SingleFamily"	"Other"	"2"	"2"	NA
"14"	14	122976169	"1,95,000"	89	"02/15/17_Listed_for_sale_195,000_89_Agent;09/05/13_Sold_167,000_76;"	NA	"https://www.zillow.com/homedetails/122976169_zpid/"	"7437SteventonWay,Jacksonville,FL32244"	"32244"	"Duclay"	"1_SadieT.TillisElementary_K-5_1.1mi;2_J.E.B.StuartMiddle_6-8_2.9mi;2_NathanB.ForrestHigh_9-12_2.4mi"	"7,899"	"2,186"	NA	159113070	1	2013	2013	"SingleFamily"	NA	"2"	"3"	NA
"15"	15	44503074	"1,00,000"	97	"02/17/17_Price_change_100,000_96_INI_REALTY_INV;01/16/17_Listed_for_sale_110,000_106_INI_REALTY_INV;11/28/16_Listing_removed_69,900_67_ACTION_FIRST_R"	NA	"https://www.zillow.com/homedetails/44503074_zpid/"	"5203PennantDr,Jacksonville,FL32244"	"32244"	"Wesconnett"	"1_TimucuanElementary_PK-5_0.5mi;2_J.E.B.StuartMiddle_6-8_1.7mi;2_NathanB.ForrestHigh_9-12_3.1mi"	"0.32"	"1,032"	"862685"	1042410000	1	1954	1954	"SingleFamily"	NA	NA	"3"	NA
"16"	16	44423969	"1,74,000"	87	NA	"2015_2,250_107,854;2014_1,301_97,459;2013_1,217_92,764"	"https://www.zillow.com/homedetails/44423969_zpid/"	"7658NeciaDrS,Jacksonville,FL32244"	"32244"	"McGirtsCreek"	"1_SadieT.TillisElementary_K-5_2.2mi;2_JeffersonDavisMiddle_6-8_3.0mi;2_NathanB.ForrestHigh_9-12_2.4mi"	"1"	"2,000"	"867905"	160180000	1	1975	2017	"SingleFamily"	"Ranch"	"2"	"4"	NA
"17"	17	44490672	"3,99,000"	161	NA	"2015_5,313_62,207_2014_4,764_238,370;2013_2,149_141,287"	"https://www.zillow.com/homedetails/44490672_zpid/"	"3774AndersonSt,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_1.8mi;3_RobertE.LeeHigh_9-12_0.8mi"	"10,003"	"2,483"	"861851"	932870000	2	1942	1995	"SingleFamily"	"Other"	"3"	"3"	NA
"18"	18	44498474	"35,00,000"	348	NA	NA	"https://www.zillow.com/homedetails/44498474_zpid/"	"6068SanJoseBlvdW,Jacksonville,FL32217"	"32217"	"Lakewood"	"2_SanJoseElementary_PK-5_1.1mi;5_AlfredI.DupontMiddle_6-8_1.1mi;4_SamuelW.WolfsonHigh_9-12_2.1mi"	"1.95"	"10,054"	"769960"	1004230000	2	2001	2001	"SingleFamily"	"Other"	"9"	"5"	22
"19"	19	2095219520	"1,53,000"	131	"03/01/17_Price_change_153,000_131_--;02/20/17_Listed_for_sale_319,500_274_Owner"	NA	"https://www.zillow.com/homedetails/2095219520_zpid/"	"2115EuclidSt,Jacksonville,FL32210"	"32210"	"Fairfax"	"9_FishweirElementary_PK-5_0.7mi;2_LakeShoreMiddle_6-8_0.7mi;3_RobertE.LeeHigh_9-12_1.8mi"	NA	"1,166"	NA	NA	NA	NA	NA	NA	NA	"2"	"2"	NA
"20"	20	44502522	"33,500"	NA	"01/13/17_Listed_for_sale_33,500_--_INI_REALTY_INV"	"2015_243_12,875;2014_295_15,450_--;2013_297_15,450_--"	"https://www.zillow.com/homedetails/44502522_zpid/"	"5514ArvaCir,Jacksonville,FL32244"	"32244"	"Wesconnett"	"1_TimucuanElementary_PK-5_0.5mi;2_J.E.B.StuartMiddle_6-8_0.7mi;2_NathanB.ForrestHigh_9-12_2.2mi"	NA	NA	"862274"	1037670000	NA	NA	NA	NA	NA	NA	NA	NA
"21"	21	2125444577	"5,75,000"	223	NA	NA	"https://www.zillow.com/homedetails/2125444577_zpid/"	"534LancasterSt,Jacksonville,FL32204"	"32204"	"Riverside"	"2_WestRiversideElementary_PK-5_1.1mi;2_LakeShoreMiddle_6-8_3.8mi;3_RobertE.LeeHigh_9-12_1.7mi"	NA	"2,582"	"863532"	NA	2	1916	NA	"SingleFamily"	"Victorian"	"4"	"5"	NA
